Origem;Destino;Peso;Volume;Natureza_Mercadoria;Tipo_Veiculo;Prazo_Entrega
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;49.250;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Osasco-SP;20.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;20.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Osasco-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Blumenau-SC;1.672.000;10;DIVERSOS;Toco;96
Barueri-SP;Cariacica-ES;281.700;2;DIVERSOS;Truck;96
Barueri-SP;Recife-PE;836.000;5;DIVERSOS;Toco;168
Barueri-SP;Recife-PE;836.000;5;DIVERSOS;Toco;168
Barueri-SP;Blumenau-SC;836.000;5;DIVERSOS;Toco;96
Barueri-SP;Vila Velha-ES;51.240;1;DIVERSOS;Truck;96
Barueri-SP;Vila Velha-ES;155.800;1;DIVERSOS;Truck;96
Barueri-SP;Blumenau-SC;167.200;1;DIVERSOS;Toco;96
Barueri-SP;Sao Paulo-SP;334.400;2;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;1.337.600;8;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Ribeirao Preto-SP;2.173.600;13;DIVERSOS;UTILITARIO/STRADA;72
Sao Bernardo do Campo-SP;Santo Andre-SP;267.660;6;NESTLE;Caminhao 3/4 D+1;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;313.200;2;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;132.660;4;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;469.800;3;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;377.550;2;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Mongagua-SP;4.501.350;23;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Aparecida-SP;3.403.800;18;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Mongagua-SP;8.619.300;43;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;783.000;5;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.071.000;6;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;5.442.750;29;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;5.280.750;30;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;157.500;1;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;5.223.150;28;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;5.824.800;31;NESTLE;Fiorino /Doblo / Kan;48
Sao Bernardo do Campo-SP;Jacarei-SP;5.831.550;29;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Santos-SP;120.800;20;NESTLE;DUCATO;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.353.600;7;NESTLE;Toco;48
Sao Bernardo do Campo-SP;Santos-SP;37.472.460;366;NESTLE;Toco;72
Sao Bernardo do Campo-SP;Santos-SP;35.100.000;250;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Praia Grande-SP;8.004.150;42;NESTLE;Sprinter longa;120
Sao Bernardo do Campo-SP;Praia Grande-SP;1.471.050;9;NESTLE;Sprinter longa;120
Sao Bernardo do Campo-SP;Sao Paulo-SP;16.283.250;91;NESTLE;Sprinter longa;48
Sao Bernardo do Campo-SP;Taubate-SP;6.523.200;36;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Caraguatatuba-SP;598.050;3;NESTLE;Caminhao 3/4 D+1;120
Sao Bernardo do Campo-SP;Peruibe-SP;11.388.150;57;NESTLE;Iveco/ Master / Tran;120
Sao Bernardo do Campo-SP;Taubate-SP;783.000;5;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Jundiai-SP;1.015.650;9;NESTLE;Caminhao 3/4 D+1;72
Sao Bernardo do Campo-SP;Taubate-SP;3.098.250;17;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Caraguatatuba-SP;3.620.700;18;NESTLE;Caminhao 3/4 D+1;120
Sao Bernardo do Campo-SP;Peruibe-SP;15.600.150;80;NESTLE;Iveco/ Master / Tran;120
Sao Bernardo do Campo-SP;Peruibe-SP;9.904.500;52;NESTLE;Iveco/ Master / Tran;120
Sao Bernardo do Campo-SP;Santos-SP;6.324.750;33;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sao Vicente-SP;8.514.900;45;NESTLE;Iveco/ Master / Tran;120
Sao Bernardo do Campo-SP;Santos-SP;1.879.650;12;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Guarulhos-SP;2.620.000;5170;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Campinas-SP;781.790;17;NESTLE;Toco;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;85.900;7;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;401.000;5;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;72.900;6;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;476.890;41;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.060.000;87;NESTLE;Furgao Curto;48
Barueri-SP;Santa Cruz do Capibaribe-PE;668.800;4;DIVERSOS;Toco;240
Barueri-SP;Santa Cruz do Capibaribe-PE;2.508.000;15;DIVERSOS;Toco;240
Barueri-SP;Palhoca-SC;167.200;1;DIVERSOS;Toco;72
Barueri-SP;Blumenau-SC;501.600;3;DIVERSOS;Toco;96
Barueri-SP;Blumenau-SC;1.337.600;8;DIVERSOS;Toco;96
Barueri-SP;Aracariguama-SP;34.650;1;NESPRESSO;Cavalo;24
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;30.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Osasco-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Osasco-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;0.7020;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Maceio-AL;167.200;1;DIVERSOS;Toco;168
Barueri-SP;Maceio-AL;836.000;5;DIVERSOS;Toco;168
Barueri-SP;Sao Paulo-SP;160.700;2;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Porto Alegre-RS;1.060.600;21;DIVERSOS;Toco;96
Barueri-SP;Porto Alegre-RS;403.880;7;DIVERSOS;Toco;96
Barueri-SP;Serra-ES;937.440;14;DIVERSOS;Truck;96
Barueri-SP;Sao Paulo-SP;501.600;3;DIVERSOS;Vuc;48
Barueri-SP;Sao Paulo-SP;668.800;4;DIVERSOS;Vuc;48
Barueri-SP;Sao Paulo-SP;1.672.000;10;DIVERSOS;Vuc;48
Barueri-SP;Sao Paulo-SP;501.600;3;DIVERSOS;Vuc;48
Barueri-SP;Sao Paulo-SP;334.400;2;DIVERSOS;Vuc;48
Barueri-SP;Sao Paulo-SP;334.400;2;DIVERSOS;Vuc;48
Barueri-SP;Vila Velha-ES;836.000;5;DIVERSOS;Truck;96
Barueri-SP;Maceio-AL;334.400;2;DIVERSOS;Toco;168
Barueri-SP;Sao Jose-SC;678.280;4;DIVERSOS;Toco;72
Barueri-SP;Porto Alegre-RS;1.742.730;11;DIVERSOS;Toco;96
Barueri-SP;Curitiba-PR;2.307.500;14;DIVERSOS;Toco;48
Barueri-SP;Belo Horizonte-MG;1.672.000;10;DIVERSOS;Truck;72
Barueri-SP;Belo Horizonte-MG;7.524.000;45;DIVERSOS;Truck;72
Barueri-SP;Ronda Alta-RS;167.200;1;DIVERSOS;Toco;120
Barueri-SP;Ronda Alta-RS;1.170.400;7;DIVERSOS;Toco;120
Barueri-SP;Serra-ES;870.480;13;DIVERSOS;Truck;96
Barueri-SP;Maringa-PR;668.800;4;DIVERSOS;Toco;96
Barueri-SP;Maringa-PR;334.400;2;DIVERSOS;Toco;96
Barueri-SP;Maringa-PR;1.839.200;11;DIVERSOS;Toco;96
Barueri-SP;Bauru-SP;1.672.000;10;DIVERSOS;Toco;72
Barueri-SP;Ronda Alta-RS;836.000;5;DIVERSOS;Toco;120
Barueri-SP;Ronda Alta-RS;668.800;4;DIVERSOS;Toco;120
Barueri-SP;Ronda Alta-RS;1.003.200;6;DIVERSOS;Toco;120
Barueri-SP;Cuiaba-MT;167.200;1;DIVERSOS;Toco;120
Barueri-SP;Campo Grande-MS;501.600;3;DIVERSOS;Toco;96
Barueri-SP;Americana-SP;1.356.560;8;DIVERSOS;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;461.480;38;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;166.000;14;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;278.100;23;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;118.200;9;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;537.640;45;NESTLE;DUCATO;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.309.950;136;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;927.630;102;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Guarulhos-SP;8.139.640;89;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;439.190;38;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;488.110;43;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;83.200;7;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;76.000;1;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;147.140;11;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;60.000;7;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;990.000;92;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.210.000;133;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.190.000;127;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;950.000;100;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;96.100;8;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;961.200;13;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Campinas-SP;4.770.000;44;NESTLE;Caminhao 3/4 D+1;72
Sao Bernardo do Campo-SP;Campinas-SP;15.900;2;NESTLE;Caminhao 3/4 D+1;72
Sao Bernardo do Campo-SP;Sao Jose dos Campos-SP;4.150.800;24;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sao Jose dos Campos-SP;815.400;6;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Guaratingueta-SP;1.289.250;7;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Pindamonhangaba-SP;4.219.650;22;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Lorena-SP;6.013.800;31;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Taubate-SP;2.356.650;15;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;133.200;8;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;78.090;7;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;46.600;4;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;149.300;2;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;221.950;20;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Campinas-SP;2.321.810;60;NESTLE;Toco;48
Sao Bernardo do Campo-SP;Campinas-SP;138.810;2;NESTLE;Toco;48
Sao Bernardo do Campo-SP;Santo Andre-SP;130.000;2;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Niteroi-RJ;138.810;2;NESTLE;Fiorino /Doblo / Kan;72
Sao Bernardo do Campo-SP;Sao Jose do Rio Preto-SP;77.714.270;957;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;8.706.150;150;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;53.140.000;5148;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;6.669.080;592;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;41.130.000;331;NESTLE;Caminhao 3/4 D+1;48
Sao Bernardo do Campo-SP;Jundiai-SP;63.300.000;3119;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Sao Jose do Rio Preto-SP;32.871.680;437;NESTLE;Truck;72
Barueri-SP;Sao Paulo-SP;674.480;4;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;337.240;2;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;168.620;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Recife-PE;836.000;5;DIVERSOS;Toco;168
Barueri-SP;Recife-PE;836.000;5;DIVERSOS;Toco;168
Barueri-SP;Palhoca-SC;6.225.220;39;DIVERSOS;Toco;72
Barueri-SP;Serra-ES;1.192.320;40;DIVERSOS;Truck;96
Barueri-SP;Barueri-SP;12.250;1;DIVERSOS;Cavalo;48
Barueri-SP;Barueri-SP;1.192.320;40;DIVERSOS;Iveco/ Master / Tran;48
Barueri-SP;Barueri-SP;66.960;1;DIVERSOS;Iveco/ Master / Tran;48
Barueri-SP;Serra-ES;5.080.700;41;DIVERSOS;Truck;96
Barueri-SP;Cuiaba-MT;668.800;4;DIVERSOS;Toco;120
Barueri-SP;Rio de Janeiro-RJ;2.948.750;19;DIVERSOS;Caminhao 3/4;48
Barueri-SP;Sao Paulo-SP;3.251.300;20;DIVERSOS;Truck;48
Barueri-SP;Aparecida de Goiania-GO;5.254.820;33;DIVERSOS;Truck;96
Barueri-SP;Uberlandia-MG;678.280;4;DIVERSOS;Truck;120
Barueri-SP;Brasilia-DF;1.736.090;11;DIVERSOS;Truck;96
Barueri-SP;Aparecida de Goiania-GO;65.110;1;DIVERSOS;Truck;96
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Guarulhos-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;40.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;20.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Osasco-SP;50.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;20.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;90.000;2;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;100.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;50.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Carapicuiba-SP;20.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;27.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;60.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Cariacica-ES;290.000;14;DIVERSOS;Truck;72
Sao Bernardo do Campo-SP;Marilia-SP;634.000;9;NESTLE;Caminhao 3/4;72
Sao Bernardo do Campo-SP;Campinas-SP;32.184.200;286;NESTLE;Toco;72
Sao Bernardo do Campo-SP;Jacarei-SP;61.643.560;639;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Sao Jose dos Campos-SP;18.683.800;135;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Jose do Rio Preto-SP;27.765.370;363;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Jacarei-SP;11.363.200;190;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Santos-SP;16.314.210;283;NESTLE;DUCATO;72
Sao Bernardo do Campo-SP;Santos-SP;1.500.760;29;NESTLE;DUCATO;72
Sao Bernardo do Campo-SP;Santos-SP;237.100;5;NESTLE;DUCATO;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;83.900;1;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;83.900;1;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.697.800;22;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;107.240;7;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;62.600;5;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;264.600;2;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;643.050;5;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;49.600;4;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Jose dos Campos-SP;700.000;5;NESTLE;Vuc;48
Sao Bernardo do Campo-SP;Barueri-SP;106.474.600;929;NESTLE;Cavalo;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;302.500;5;NESTLE;Fiorino /Doblo / Kan;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;362.400;30;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;278.270;23;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;122.500;10;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;164.570;5;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;214.000;17;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;399.150;3;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;30.600;3;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Jose dos Campos-SP;469.800;3;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sao Jose dos Campos-SP;441.450;2;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Atibaia-SP;1.190.000;97;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Jundiai-SP;1.290.150;7;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Jundiai-SP;912.150;5;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sorocaba-SP;377.550;2;NESTLE;Caminhao 3/4 D+1;72
Sao Bernardo do Campo-SP;Sorocaba-SP;220.950;2;NESTLE;Caminhao 3/4 D+1;72
Sao Bernardo do Campo-SP;Sao Sebastiao-SP;110.700;1;NESTLE;Caminhao 3/4 D+1;72
Sao Bernardo do Campo-SP;Bertioga-SP;220.950;2;NESTLE;Caminhao 3/4 D+1;120
Sao Bernardo do Campo-SP;Peruibe-SP;220.950;2;NESTLE;Caminhao 3/4 D+1;120
Sao Bernardo do Campo-SP;Sorocaba-SP;1.132.650;6;NESTLE;Caminhao 3/4 D+1;72
Sao Bernardo do Campo-SP;Sorocaba-SP;220.950;2;NESTLE;Caminhao 3/4 D+1;72
Sao Bernardo do Campo-SP;Sorocaba-SP;1.431.000;9;NESTLE;Caminhao 3/4 D+1;72
Sao Bernardo do Campo-SP;Sorocaba-SP;220.950;2;NESTLE;Caminhao 3/4 D+1;72
Sao Bernardo do Campo-SP;Jundiai-SP;313.200;2;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Santos-SP;332.130;4;NESTLE;DUCATO;72
Sao Bernardo do Campo-SP;Santos-SP;11.908.300;162;NESTLE;DUCATO;72
Sao Paulo - Interior-SP;Aracariguama-SP;107.710;1;NESPRESSO;Cavalo;120
Sao Paulo-SP;Osasco-SP;5.200.000;20;BIESTERFELD;Truck;24
Sao Paulo-SP;Osasco-SP;26.000.000;100;BIESTERFELD;Truck;24
Sao Paulo-SP;Osasco-SP;52.000.000;200;BIESTERFELD;Truck;24
Sao Paulo-SP;Guarulhos-SP;4.940.000;19;BIESTERFELD;Iveco/ Master / Tran;24
Sao Paulo-SP;Aracariguama-SP;872.740;4;NESPRESSO;Cavalo;24
Sao Paulo-SP;Aracariguama-SP;131.400;1;NESPRESSO;Cavalo;24
Sao Paulo-SP;Sao Paulo-SP;5.200.000;20;BIESTERFELD;Vuc;24
Sao Paulo-SP;Sao Bernardo do Campo-SP;211.200;3;NESTLE;Toco;48
Sao Paulo-SP;Guarulhos-SP;210.000;1;BIESTERFELD;Iveco/ Master / Tran;24
Sao Paulo-SP;Sao Paulo-SP;520.000;2;BIESTERFELD;Iveco/ Master / Tran;24
Campinas-SP;Sao Bernardo do Campo-SP;710.000;10;NESTLE;Toco;120
Sao Paulo-SP;Sorocaba-SP;140.000;2;LOGSOR;Toco;72
Sao Paulo-SP;Guarulhos-SP;1.820.000;7;BIESTERFELD;Iveco/ Master / Tran;24
Sao Paulo-SP;Sao Paulo-SP;20.000;5;EPSON;Cavalo;48
Sao Paulo-SP;Guarulhos-SP;2.600.000;10;BIESTERFELD;Truck;24
Sao Paulo-SP;Sao Paulo-SP;520.000;2;BIESTERFELD;Truck;24
Sao Paulo-SP;Sao Bernardo do Campo-SP;170.000;3;NESTLE;Toco;48
Sao Paulo-SP;Sao Paulo-SP;15.600.000;60;BIESTERFELD;Truck;24
Sao Paulo-SP;Aracariguama-SP;118.130;1;NESPRESSO;Cavalo;24
Sao Paulo-SP;Aracariguama-SP;59.940;1;NESPRESSO;Cavalo;24
Sao Paulo-SP;Aracariguama-SP;107.710;1;NESPRESSO;Cavalo;24
Sao Paulo-SP;Sao Paulo-SP;260.000;1;BIESTERFELD;Toco;24
Sao Paulo-SP;Sao Paulo-SP;52.000.000;200;BIESTERFELD;Toco;24
Sao Paulo-SP;Aracariguama-SP;109.130;3;NESPRESSO;Cavalo;24
Rio de Janeiro-RJ;Sorocaba-SP;290.000;3;DIVERSOS;Toco;24
Sao Paulo-SP;Sao Bernardo do Campo-SP;1.668.600;10;NESTLE;Toco;48
Sao Paulo-SP;Sao Paulo-SP;30.640.000;90;BIESTERFELD;Truck;24
Sao Paulo-SP;Aracariguama-SP;107.710;1;NESPRESSO;Cavalo;24
Sao Paulo-SP;Sao Paulo-SP;2.600.000;10;BIESTERFELD;Fiorino /Doblo / Kan;24
Sao Paulo-SP;Guarulhos-SP;1.300.000;5;BIESTERFELD;Truck;24
Sao Paulo-SP;Aracariguama-SP;107.710;1;NESPRESSO;Cavalo;24
Rio de Janeiro-RJ;Sao Joao de Meriti-RJ;30.000;1;NESPRESSO;Toco;24
Sao Paulo-SP;Guarulhos-SP;1.040.000;4;BIESTERFELD;Fiorino /Doblo / Kan;24
Rio de Janeiro-RJ;Sao Joao de Meriti-RJ;10.000;1;NESPRESSO;Toco;24
Sao Paulo-SP;Sao Paulo-SP;260.000;1;BIESTERFELD;Iveco/ Master / Tran;24
Campinas-SP;Sao Bernardo do Campo-SP;4.440.000;63;NESTLE;Caminhao 3/4;120
Campinas-SP;Resende-RJ;10.300;1;EPSON;Truck;72
Sao Paulo-SP;Sao Bernardo do Campo-SP;83.900;1;NESTLE;Caminhao 3/4;48
Sao Paulo-SP;Diadema-SP;10.400.000;40;BIESTERFELD;Truck;24
Sao Paulo-SP;Guarulhos-SP;1.830.000;8;BIESTERFELD;Fiorino /Doblo / Kan;24
Sao Paulo-SP;Sao Paulo-SP;12.480.000;48;BIESTERFELD;Iveco/ Master / Tran;24
Sao Paulo-SP;Sao Paulo-SP;520.000;2;BIESTERFELD;Fiorino /Doblo / Kan;24
Sao Paulo-SP;Sao Bernardo do Campo-SP;30.600;3;NESTLE;Caminhao 3/4;48
Sao Paulo-SP;Aracariguama-SP;28.800;1;NESPRESSO;Cavalo;24
Sao Paulo-SP;Guarulhos-SP;260.000;1;BIESTERFELD;Iveco/ Master / Tran;24
Sao Paulo-SP;Sao Paulo-SP;5.450.000;21;BIESTERFELD;Vuc;24
Uberlandia-MG;Barueri-SP;194.040;3;EPSON;Toco;120
Rio de Janeiro-RJ;Sao Joao de Meriti-RJ;20.000;1;NESPRESSO;Toco;24
Sao Paulo-SP;Sao Paulo-SP;3.930.000;11;BIESTERFELD;Fiorino /Doblo / Kan;24
