Origem;Destino;Peso;Volume;Natureza_Mercadoria;Tipo_Veiculo;Prazo_Entrega
Cordeiropolis-SP;Sao Jose do Rio Preto-SP;2.914.500;0;NESTLE;Truck;120
Cordeiropolis-SP;Marilia-SP;400.000;15;NESTLE;Truck;120
Cordeiropolis-SP;Marilia-SP;20.279.950;0;NESTLE;Truck;120
Cordeiropolis-SP;Catanduva-SP;13.870.850;0;NESTLE;Truck;120
Cordeiropolis-SP;Aracatuba-SP;520.000;6;NESTLE;Truck;120
Maringa-PR;Aracariguama-SP;1.278.400;2;NESPRESSO;Cavalo;168
Curitiba-PR;Aracariguama-SP;1.918.080;5;NESPRESSO;Cavalo;120
Itu-SP;Aracariguama-SP;14.400;1;NESPRESSO;Cavalo;120
Ribeirao Preto-SP;Aracariguama-SP;113.400;1;NESPRESSO;Cavalo;120
Curitiba-PR;Aracariguama-SP;80.000;3;NESPRESSO;Cavalo;96
Sao Jose dos Campos-SP;Sao Bernardo do Campo-SP;320.000;5;NESTLE;Caminhao 3/4;120
Sao Jose dos Campos-SP;Sao Bernardo do Campo-SP;441.450;2;NESTLE;Cavalo;120
Sao Jose dos Campos-SP;Sao Bernardo do Campo-SP;10.000;1;NESTLE;Cavalo;120
Salvador-BA;Guarulhos-SP;90.000;1;DIVERSOS;Fiorino /Doblo / Kan;120
Diadema-SP;Sao Paulo-SP;200.000;1;LOGSOR;Toco;48
Serra-ES;Resende-RJ;765.000;9;EPSON;Truck;96
Cajamar-SP;Aracariguama-SP;400.000;1;NESPRESSO;Cavalo;24
Guarulhos-SP;Sao Bernardo do Campo-SP;230.000;2;NESTLE;Toco;48
Cajamar-SP;Resende-RJ;28.680.960;194;EPSON;Truck;48
Duque de Caxias-RJ;Resende-RJ;2.090.000;2;EPSON;Truck;72
Guarulhos-SP;Aracariguama-SP;332.640;12;NESPRESSO;Cavalo;24
Guarulhos-SP;Aracariguama-SP;332.640;12;NESPRESSO;Cavalo;24
Guarulhos-SP;Sao Bernardo do Campo-SP;1.289.700;7;NESTLE;Toco;48
Guarulhos-SP;Sao Bernardo do Campo-SP;382.500;5;NESTLE;Caminhao 3/4;48
Cajamar-SP;Sao Paulo-SP;9.480.000;223;NESTLE;Iveco/ Master / Tran;48
Cajamar-SP;Sao Paulo-SP;4.242.220;77;NESTLE;Cavalo;48
Cajamar-SP;Sao Paulo-SP;18.040.000;262;NESTLE;Cavalo;48
Cajamar-SP;Sao Paulo-SP;17.600.000;511;NESTLE;Cavalo;48
Cajamar-SP;Sao Paulo-SP;8.520.000;199;NESTLE;Cavalo;48
Cajamar-SP;Guarulhos-SP;4.717.800;95;NESTLE;Cavalo;48
Cajamar-SP;Sao Paulo-SP;2.410.000;51;NESTLE;Cavalo;48
Cajamar-SP;Sao Paulo-SP;1.740.000;69;NESTLE;Cavalo;48
Cajamar-SP;Sao Paulo-SP;2.356.350;116;NESTLE;Cavalo;48
Cajamar-SP;Sao Paulo-SP;7.864.820;215;NESTLE;Cavalo;48
Cajamar-SP;Sao Paulo-SP;1.770.000;26;NESTLE;Cavalo;48
Cajamar-SP;Sao Paulo-SP;13.530.000;107;NESTLE;Cavalo;48
Cajamar-SP;Sao Paulo-SP;15.320.000;392;NESTLE;Cavalo;48
Guarulhos-SP;Sao Bernardo do Campo-SP;909.900;7;NESTLE;Caminhao 3/4;48
